"We can't find products matching the selection.","We can't find products matching the selection."
Sale,Sale
New,New
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Related Products","Related Products"
"Also you might like!","Also you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
Day,Day
Hours,Hours
Mins,Mins
Secs,Secs
Expired,Expired
"<i class=""fa fa-heart-o""></i> Add to Wish List","<i class=""fa fa-heart-o""></i> Add to Wish List"
"<i class=""fa fa-refresh""></i> Add to Compare","<i class=""fa fa-refresh""></i> Add to Compare"
"<i class=""fa fa-envelope-o""></i>
             Email","<i class=""fa fa-envelope-o""></i>
             Email"
"Share on Facebook","Share on Facebook"
"Share Facebook","Share Facebook"
"Share on Twitter","Share on Twitter"
Qty,Qty
Quantity,Quantity
Loading...,Loading...
Quickview,Quickview
"My Cart","My Cart"
" Items"," Items"
"Our Location","Our Location"
"Contact Us","Contact Us"
"Write Us","Write Us"
"* Required Fields","* Required Fields"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible."
Name,Name
Email,Email
"Phone Number","Phone Number"
"What’s on your mind?","What’s on your mind?"
Submit,Submit
Currency,Currency
"Currency : ","Currency : "
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Enter your email address"
Subscribe,Subscribe
"Sign up now !","Sign up now !"
Rating,Rating
Review,Review
Reviews,Reviews
"Add Your Review","Add Your Review"
"Add your review","Add your review"
Search,Search
Search...,Search...
"There are no search terms available.","There are no search terms available."
Language,Language
"Your Language : ","Your Language : "
"My Account","My Account"
Menu,Menu
Account,Account
Settings,Settings
Setting,Setting
Newsletter,Newsletter
"Subscribe to our newsletter","Subscribe to our newsletter"
"<i class=""fa fa-long-arrow-right""></i>","<i class=""fa fa-long-arrow-right""></i>"
Next,Next
Top,Top
"Search Terms","Search Terms"
"Your Checkout Progress", "Checkout Progress"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 items"
"Remove item", "Remove"
"Proceed to Checkout", "Go to Checkout"
"Grand Total", "Estimated Total"
"Review by", "By"
"View Order", "View"
"Update Shopping Cart", "Update Cart"
"Print Order", "Print"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"Continue to Shipping Information", "Select Shipping Method"
"We can\'t find products matching the selection.", "We can\'t find products matching the selection."
"Wishlist", "Wishlist"
"Login", "Login"